Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-03,10,Magic Potion Spin,Far Far Away,5.0,26
2024-01-03,10,Puss In Boots’ Giant Journey,Far Far Away,5.0,19
2024-01-03,10,Revenge of the Mummy,Ancient Egypt,5.0,24
2024-01-03,10,Sesame Street Spaghetti Space Chase,New York,21.0,182
2024-01-03,10,Shrek 4-D Adventure,Far Far Away,20.0,561
2024-01-03,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,289
2024-01-03,10,Treasure Hunters,Ancient Egypt,11.25,244
2024-01-03,11,Accelerator,Sci-Fi City,5.0,23
2024-01-03,11,Battlestar Galactica: CYLON,Sci-Fi City,30.0,330
2024-01-03,11,Battlestar Galactica: HUMAN,Sci-Fi City,44.166666666666664,831
2024-01-03,11,Canopy Flyer,The Lost World,15.0,156
2024-01-03,11,Dino-Soarin,The Lost World,10.0,99
2024-01-03,11,Enchanted Airways,Far Far Away,5.0,133
2024-01-03,11,Jurassic Park Rapids Adventure,The Lost World,10.0,37
2024-01-03,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,356
2024-01-03,11,Magic Potion Spin,Far Far Away,5.0,13
2024-01-03,11,Puss In Boots’ Giant Journey,Far Far Away,10.0,39
2024-01-03,11,Revenge of the Mummy,Ancient Egypt,8.75,48
2024-01-03,11,Sesame Street Spaghetti Space Chase,New York,30.0,270
2024-01-03,11,Shrek 4-D Adventure,Far Far Away,20.0,183
2024-01-03,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,20.0,178
2024-01-03,11,Treasure Hunters,Ancient Egypt,20.0,310
2024-01-03,12,Accelerator,Sci-Fi City,5.0,22
2024-01-03,12,Battlestar Galactica: CYLON,Sci-Fi City,30.833333333333332,1143
2024-01-03,12,Battlestar Galactica: HUMAN,Sci-Fi City,60.0,1212
2024-01-03,12,Canopy Flyer,The Lost World,33.75,945
2024-01-03,12,Dino-Soarin,The Lost World,18.75,247
2024-01-03,12,Enchanted Airways,Far Far Away,13.333333333333334,415
2024-01-03,12,Jurassic Park Rapids Adventure,The Lost World,18.333333333333332,349
2024-01-03,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,444
2024-01-03,12,Magic Potion Spin,Far Far Away,5.0,43
2024-01-03,12,Puss In Boots’ Giant Journey,Far Far Away,25.454545454545453,316
2024-01-03,12,Revenge of the Mummy,Ancient Egypt,8.75,60
2024-01-03,12,Sesame Street Spaghetti Space Chase,New York,10.416666666666666,305
2024-01-03,12,Shrek 4-D Adventure,Far Far Away,20.0,541
2024-01-03,12,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,40.0,846
2024-01-03,12,Treasure Hunters,Ancient Egypt,35.0,721
2024-01-03,13,Accelerator,Sci-Fi City,5.0,53
2024-01-03,13,Battlestar Galactica: CYLON,Sci-Fi City,40.0,1885
2024-01-03,13,Battlestar Galactica: HUMAN,Sci-Fi City,46.666666666666664,1917
2024-01-03,13,Canopy Flyer,The Lost World,40.0,1024
2024-01-03,13,Dino-Soarin,The Lost World,20.0,307
2024-01-03,13,Enchanted Airways,Far Far Away,14.166666666666666,597
2024-01-03,13,Jurassic Park Rapids Adventure,The Lost World,30.0,145
2024-01-03,13,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,273
2024-01-03,13,Magic Potion Spin,Far Far Away,5.0,66
2024-01-03,13,Puss In Boots’ Giant Journey,Far Far Away,44.285714285714285,536
2024-01-03,13,Revenge of the Mummy,Ancient Egypt,12.5,720
2024-01-03,13,Sesame Street Spaghetti Space Chase,New York,14.583333333333334,184
2024-01-03,13,Shrek 4-D Adventure,Far Far Away,20.0,376
2024-01-03,13,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,28.333333333333332,480
2024-01-03,13,Treasure Hunters,Ancient Egypt,29.583333333333332,135
2024-01-03,14,Accelerator,Sci-Fi City,5.0,67
2024-01-03,14,Battlestar Galactica: CYLON,Sci-Fi City,28.333333333333332,571
2024-01-03,14,Battlestar Galactica: HUMAN,Sci-Fi City,40.0,1606
2024-01-03,14,Canopy Flyer,The Lost World,40.0,535
2024-01-03,14,Dino-Soarin,The Lost World,33.333333333333336,931
